x,y,R,G,B
127,0,17,26,127
128,0,18,25,129
129,0,18,25,129
130,0,18,25,129
131,0,18,25,129
132,0,18,26,127
133,0,18,26,127
134,0,18,26,125
135,0,18,26,125
136,0,15,23,122
137,0,15,23,122
138,0,15,23,121
139,0,15,23,121
140,0,15,23,121
141,0,15,23,121
142,0,15,24,119
143,0,15,24,119
144,0,14,24,121
145,0,14,24,121
146,0,15,24,119
147,0,14,23,118
148,0,14,23,116
149,0,14,23,116
150,0,15,22,113
151,0,15,22,112
152,0,16,21,112
153,0,16,22,110
154,0,15,21,107
155,0,15,21,107
156,0,16,21,105
157,0,15,20,104
158,0,15,20,104
159,0,15,20,102
160,0,14,17,94
161,0,14,18,92
162,0,14,18,91
163,0,14,18,91
164,0,13,17,88
165,0,13,17,88
166,0,12,17,85
167,0,12,17,85
168,0,11,16,82
169,0,11,16,80
170,0,11,16,80
171,0,10,16,78
172,0,10,16,76
173,0,9,15,75
174,0,9,15,75
175,0,9,15,73
176,0,10,15,70
177,0,10,16,68
178,0,9,15,67
179,0,9,15,67
180,0,9,15,67
181,0,8,14,66
182,0,8,14,64
0,1,7,13,63
1,1,7,13,63
2,1,7,13,63
3,1,8,14,64
4,1,8,14,66
5,1,9,14,69
6,1,9,14,70
7,1,9,14,70
8,1,10,15,73
9,1,10,15,73
10,1,11,15,76
11,1,11,15,76
12,1,12,16,79
13,1,12,16,79
14,1,12,16,80
15,1,12,15,82
16,1,13,17,90
17,1,13,17,91
18,1,13,17,91
19,1,13,17,91
20,1,12,18,94
21,1,12,18,94
22,1,13,19,97
23,1,13,18,99
24,1,14,21,102
25,1,14,21,102
26,1,14,22,105
27,1,14,22,105
28,1,14,22,107
29,1,15,23,108
30,1,15,22,110
31,1,15,22,110
32,1,13,23,112
33,1,13,23,112
34,1,14,23,114
35,1,14,23,114
36,1,15,24,115
37,1,15,24,115
38,1,15,24,117
39,1,15,24,117
40,1,15,24,117
41,1,15,24,117
42,1,15,24,119
43,1,15,24,119
44,1,16,24,122
45,1,16,24,122
46,1,16,24,122
47,1,17,25,123
48,1,16,26,123
49,1,16,26,123
50,1,16,26,123
51,1,17,27,124
52,1,17,27,125
53,1,17,27,125
54,1,18,28,126
55,1,18,27,128
56,1,18,27,128
57,1,18,27,128
58,1,18,27,130
59,1,18,27,130
60,1,18,27,130
61,1,18,27,130
62,1,18,27,132
63,1,16,27,133
64,1,16,28,138
65,1,16,28,138
66,1,16,28,138
67,1,16,28,138
68,1,16,28,138
69,1,16,28,138
70,1,16,28,138
71,1,16,28,138
72,1,16,28,138
73,1,16,28,138
74,1,16,28,138
75,1,16,28,138
76,1,16,28,138
77,1,16,28,138
78,1,16,28,138
79,1,16,28,140
80,1,18,29,144
81,1,18,29,144
82,1,18,29,144
83,1,18,29,144
84,1,18,29,144
85,1,18,29,144
86,1,18,29,144
87,1,18,29,144
88,1,16,27,142
89,1,16,27,142
90,1,16,27,142
91,1,16,27,142
92,1,16,27,142
93,1,16,27,142
94,1,16,27,142
95,1,16,27,142
96,1,16,26,139
97,1,18,26,137
98,1,18,26,135
99,1,18,26,135
100,1,18,26,135
101,1,18,26,135
102,1,18,26,135
103,1,18,26,133
104,1,18,26,133
105,1,18,27,132
106,1,18,27,132
107,1,18,27,132
108,1,18,27,132
109,1,18,27,130
110,1,18,27,130
111,1,18,27,130
112,1,17,26,129
113,1,17,26,127
114,1,17,26,127
115,1,17,26,127
116,1,17,26,127
117,1,17,26,127
118,1,17,26,127
119,1,17,26,127
120,1,17,26,127
121,1,17,26,127
122,1,17,26,127
123,1,17,26,127
124,1,17,26,127
125,1,17,26,127
126,1,17,26,127
127,1,17,26,127
128,1,18,25,129
129,1,18,25,129
130,1,18,25,129
131,1,18,25,129
132,1,18,26,127
133,1,18,26,127
134,1,18,26,127
135,1,18,26,125
136,1,16,24,123
137,1,16,24,123
138,1,16,24,122
139,1,16,24,122
140,1,16,24,122
141,1,16,24,122
142,1,16,25,120
143,1,16,25,120
144,1,14,24,121
145,1,14,24,121
146,1,15,24,119
147,1,15,24,119
148,1,14,23,118
149,1,14,23,116
150,1,15,21,115
151,1,15,22,113
152,1,16,21,112
153,1,16,22,110
154,1,16,22,110
155,1,15,21,107
156,1,16,20,107
157,1,16,21,105
158,1,15,20,104
159,1,15,20,102
